route,distance,elevation
home,0.972434013774855,184
work,0.968083151664174,190
work,0.947797182733168,192
work,0.927758784646018,194
home,0.919569786789311,182
work,0.902740685059829,196
home,0.898326945618725,180
home,0.883536329580914,178
home,0.872375168388472,176
work,0.860407109133776,198
home,0.860011802889144,174
home,0.847783839967432,172
home,0.829568459568443,170
work,0.817145895162701,200
home,0.816883823679657,168
home,0.804199519193515,166
home,0.779524378090879,164
home,0.777090336545263,164
home,0.772946713099232,164
work,0.769814572791905,202
home,0.750991347902804,162
home,0.731607630135297,160
home,0.713262430707927,158
work,0.703078282656861,204
home,0.701762099477561,156
home,0.695720784798658,154
home,0.689718275245051,152
home,0.683822234968341,150
home,0.677932925290452,148
home,0.666841000860645,144
home,0.661717821092156,142
work,0.657528036183081,206
home,0.656359046334944,140
home,0.650884809648547,138
home,0.645327976928045,136
home,0.633000000001630,132
home,0.628875594235825,130
home,0.624110602230399,128
home,0.619434261620810,126
home,0.614820225971421,124
home,0.609622142780299,122
work,0.605770931468733,208
work,0.599624404912802,208
work,0.595563730383294,208
work,0.582699999999022,208
work,0.572326261326121,208
home,0.567380044756019,116
work,0.540785132725733,206
work,0.507108820864079,204
home,0.492743395663268,112
work,0.469264323243829,202
home,0.467117461663653,108
home,0.457338297140371,106
home,0.448027335528709,104
home,0.439953715070220,102
home,0.432713530382147,100
home,0.418151860063628,96
home,0.411021500029650,94
work,0.405250610001336,202
home,0.404541222450546,92
home,0.395090069274481,90
home,0.378315225646176,88
home,0.375753994943476,86
home,0.369832388913342,84
work,0.366667939192508,204
home,0.355779446935926,80
home,0.349257382037905,78
home,0.343732340995510,76
home,0.338257670382738,74
work,0.326518215028923,206
home,0.326341318053285,70
home,0.321190866234971,68
home,0.315631935604854,66
home,0.306516272468204,64
home,0.286808516514607,62
home,0.280667043102656,60
home,0.274079342672639,58
home,0.266872100011150,56
work,0.260864110620829,208
home,0.260302021485331,54
home,0.253737229033243,52
home,0.247109865693991,50
home,0.241158081575624,48
home,0.233155673996690,46
home,0.225784296235785,44
home,0.219834176562384,44
home,0.208562316092165,42
home,0.201902597687130,40
home,0.196188037819617,38
home,0.188861675956863,34
work,0.184665359207103,210
home,0.176674177069545,30
home,0.169610169172536,28
home,0.154599999994389,26
home,0.140244681467697,26
home,0.137183917406316,26
home,0.116148245536093,26
work,0.106332171444542,212
work,0.054927669815198,212
home,0.049700000003213,22
home,0.035740438766391,20
home,0.027740438766391,20
work,0.027740438766391,210
